MS46122B
!2032304/20262023
!4/29/2022.3:41:18.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
162	16.100195000	-8.509469E+000	16.100195000	-7.971799E+001	16.100195000	-8.227840E+001	16.100195000	2.282570E-002
163	16.200190000	-8.102265E+000	16.200190000	-8.480580E+001	16.200190000	-8.658978E+001	16.200190000	1.735805E-002
164	16.300185000	-7.723129E+000	16.300185000	-8.036221E+001	16.300185000	-7.958347E+001	16.300185000	1.408550E-002
165	16.400180000	-7.355729E+000	16.400180000	-7.997115E+001	16.400180000	-7.896980E+001	16.400180000	3.573899E-003
166	16.500175000	-7.109727E+000	16.500175000	-8.107892E+001	16.500175000	-8.105556E+001	16.500175000	-1.787276E-003
167	16.600170000	-7.152620E+000	16.600170000	-8.090550E+001	16.600170000	-8.140923E+001	16.600170000	-3.955624E-003
168	16.700165000	-7.099561E+000	16.700165000	-7.911259E+001	16.700165000	-7.817045E+001	16.700165000	-9.517301E-003
169	16.800160000	-7.192711E+000	16.800160000	-7.799797E+001	16.800160000	-7.800137E+001	16.800160000	-1.931707E-002
170	16.900155000	-7.330118E+000	16.900155000	-7.739594E+001	16.900155000	-7.792380E+001	16.900155000	-4.585829E-002
171	17.000150000	-7.721762E+000	17.000150000	-7.732343E+001	17.000150000	-7.664453E+001	17.000150000	-6.283339E-002
172	17.100145000	-7.773692E+000	17.100145000	-7.742179E+001	17.100145000	-7.811490E+001	17.100145000	-8.316530E-002
173	17.200140000	-8.067817E+000	17.200140000	-7.504377E+001	17.200140000	-7.678382E+001	17.200140000	-1.212329E-001
174	17.300135000	-8.474030E+000	17.300135000	-7.422614E+001	17.300135000	-7.500490E+001	17.300135000	-1.593138E-001
175	17.400130000	-9.094519E+000	17.400130000	-7.284126E+001	17.400130000	-7.331281E+001	17.400130000	-2.211234E-001
176	17.500125000	-1.008459E+001	17.500125000	-7.475089E+001	17.500125000	-7.482795E+001	17.500125000	-2.964034E-001
177	17.600120000	-1.141196E+001	17.600120000	-7.288586E+001	17.600120000	-7.333186E+001	17.600120000	-4.225260E-001
178	17.700115000	-1.237192E+001	17.700115000	-7.291907E+001	17.700115000	-7.491206E+001	17.700115000	-6.121534E-001
179	17.800110000	-1.328374E+001	17.800110000	-7.146077E+001	17.800110000	-7.216979E+001	17.800110000	-9.322445E-001
180	17.900105000	-1.351170E+001	17.900105000	-7.197620E+001	17.900105000	-7.371600E+001	17.900105000	-1.539893E+000
181	18.000100000	-1.480273E+001	18.000100000	-7.156061E+001	18.000100000	-7.059323E+001	18.000100000	-2.778092E+000
182	18.100095000	-1.608874E+001	18.100095000	-7.062624E+001	18.100095000	-7.189034E+001	18.100095000	-5.111075E+000
